VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_time
2,08-01-2015 22:44,08-01-2015 22:53,1,2.35,-73.98013306,40.75930405,1,N,-73.97057343,40.78672028,1,10,0.5,0.5,2.1,0,13.4,459479752
1,08-01-2015 22:44,08-01-2015 23:17,2,21.7,-73.77681732,40.64553833,2,N,-74.00587463,40.7088623,1,52,0,0.5,14.5,5.33,72.63,84858
2,08-01-2015 22:44,08-01-2015 22:49,5,0.67,-73.97009277,40.76163864,1,N,-73.978508,40.76212311,2,5,0.5,0.5,0,0,6.3,846
2,08-01-2015 22:44,08-01-2015 22:46,2,0.6,-73.98940277,40.74720001,1,N,-73.98526764,40.74163055,2,4,0.5,0.5,0,0,5.3,5004
1,08-01-2015 22:44,08-01-2015 22:47,2,0.7,-73.99417114,40.69011688,1,N,-73.98373413,40.68570709,1,4.5,0.5,0.5,1.15,0,6.95,5344864
1,08-01-2015 22:44,08-01-2015 22:50,1,1.3,-73.9756546,40.75202179,1,N,-73.97962189,40.73728561,2,6.5,0.5,0.5,0,0,7.8,3345468
2,08-01-2015 22:44,08-01-2015 22:47,1,0.56,-74.0103302,40.71966934,1,N,-74.00448608,40.7216568,2,4,0.5,0.5,0,0,5.3,893937
2,08-01-2015 22:44,08-01-2015 22:47,1,0.66,-74.00247955,40.75597382,1,N,-73.99243164,40.75172043,1,4.5,0.5,0.5,1,0,6.8,36868
1,08-01-2015 22:44,08-01-2015 22:50,1,0.5,-73.98770142,40.76491547,1,N,-73.99345398,40.75888062,1,5.5,0.5,0.5,1,0,7.8,37874351
1,08-01-2015 22:44,08-01-2015 22:55,1,1.3,-73.97707367,40.7629776,1,N,-73.99130249,40.75022125,2,9,0.5,0.5,0,0,10.3,459479753
2,08-01-2015 22:44,08-01-2015 22:48,4,0.54,-73.99027252,40.75699234,1,N,-73.98430634,40.76300812,2,4.5,0.5,0.5,0,0,5.8,84859
2,08-01-2015 22:44,08-01-2015 22:54,1,2.54,-73.96888733,40.75782013,1,N,-73.96872711,40.78604889,1,10.5,0.5,0.5,2.2,0,14,847
2,08-01-2015 22:44,08-01-2015 22:47,1,0.71,-73.9756012,40.78687668,1,N,-73.97103119,40.7951622,1,4.5,0.5,0.5,0,0,5.8,5005
1,08-01-2015 22:44,08-01-2015 22:48,2,0.7,-73.98957825,40.725811,1,N,-73.989151,40.71873856,1,4.5,0.5,0.5,1.1,0,6.9,5344865
2,08-01-2015 22:44,08-01-2015 22:52,1,1.01,-73.98641205,40.72237015,1,N,-73.98992157,40.73244095,2,7,0.5,0.5,0,0,8.3,5002
2,08-01-2015 22:44,08-01-2015 22:56,5,2.62,-73.99068451,40.75043869,1,N,-73.98887634,40.72290802,2,11,0.5,0.5,0,0,12.3,5344862
1,08-01-2015 22:44,08-01-2015 23:03,1,5.4,0,0,1,N,0,0,1,18.5,0.5,0.5,3.95,0,23.75,3345466
2,08-01-2015 22:44,08-01-2015 22:48,1,0.91,-73.97692108,40.78082657,1,N,-73.96590424,40.77806091,2,5.5,0.5,0.5,0,0,6.8,893935
1,08-01-2015 22:44,08-01-2015 22:50,2,1.5,-73.99271393,40.76830673,1,N,-73.97480011,40.77822495,1,7,0.5,0.5,1.65,0,9.95,36866
2,08-01-2015 22:44,08-01-2015 22:53,5,2.2,-73.97887421,40.76509857,1,N,-73.97360992,40.79196167,1,9.5,0.5,0.5,2,0,12.8,37874349
2,08-01-2015 22:44,08-01-2015 22:52,1,1.38,-73.97502136,40.75666046,1,N,-73.9833374,40.7490654,1,7.5,0.5,0.5,1.2,0,10,459479751
2,08-01-2015 22:44,08-01-2015 22:49,1,1.34,-73.95983124,40.80828094,1,N,-73.97186279,40.79474258,2,6.5,0.5,0.5,0,0,7.8,84857
1,08-01-2015 22:44,08-01-2015 22:55,1,3,-73.97502899,40.74446487,1,N,-73.95301056,40.7792778,2,11.5,0.5,0.5,0,0,12.8,845
2,08-01-2015 22:44,08-01-2015 22:53,2,2.08,-73.97492218,40.76174164,1,N,-73.96972656,40.78480911,1,9,0.5,0.5,1.9,0,12.2,5003
2,08-01-2015 22:44,08-01-2015 22:47,1,0.85,-73.95897675,40.77162552,1,N,-73.94831085,40.77318573,1,5,0.5,0.5,1.1,0,7.4,5344863
1,08-01-2015 22:44,08-01-2015 22:52,1,1.3,-73.98162842,40.75234985,1,N,-73.96495056,40.75416946,2,8,0.5,0.5,0,0,9.3,3345467
2,08-01-2015 22:44,08-01-2015 22:51,1,1.13,-74.00793457,40.7403183,1,N,-73.99446869,40.73723602,1,6.5,0.5,0.5,1.4,0,9.2,893936
2,08-01-2015 22:44,08-01-2015 22:52,5,1.62,-73.98827362,40.74849319,1,N,-73.98405457,40.73194122,2,7.5,0.5,0.5,0,0,8.8,36867
1,08-01-2015 22:44,08-01-2015 22:56,1,3.5,-74.00784302,40.7149353,1,N,-73.95654297,40.71313858,1,13,0.5,0.5,2,0,16.3,37874350
1,08-01-2015 22:44,08-01-2015 22:47,1,0.5,-73.98100281,40.74451447,1,N,-73.97618866,40.74821472,1,4.5,0.5,0.5,1.7,0,7.5,459479752
2,08-01-2015 22:44,08-01-2015 23:17,1,18.29,-73.79264069,40.64499664,2,N,-74.0041275,40.72101593,1,52,0,0.5,10.4,0,63.2,84858
2,08-01-2015 22:44,08-01-2015 22:53,4,1.44,-73.98979187,40.73423767,1,N,-73.97415161,40.74294662,1,8.5,0.5,0.5,1.8,0,11.6,846
1,08-01-2015 22:44,08-01-2015 22:56,4,2.3,-73.99255371,40.76992416,1,N,-74.00410461,40.74240875,2,10.5,0.5,0.5,0,0,11.8,5004
1,08-01-2015 22:44,08-01-2015 22:59,1,6.8,-73.98967743,40.71920776,1,N,-73.94843292,40.79069138,1,21,0.5,0.5,1,0,23.3,5344864
2,08-01-2015 22:44,08-01-2015 22:51,1,1.65,-73.96640778,40.76116943,1,N,-73.9479599,40.77291107,2,7.5,0.5,0.5,0,0,8.8,3345468
2,08-01-2015 22:44,08-01-2015 23:04,2,4.52,-73.99169922,40.76977158,1,N,-73.99131775,40.7193985,1,17.5,0.5,0.5,2,0,20.8,893937
2,08-01-2015 22:44,08-01-2015 23:07,1,10.45,-73.99580383,40.7321701,1,N,-74.03204346,40.61374283,1,30.5,0.5,0.5,3.2,0,35,36868
2,08-01-2015 22:44,08-01-2015 22:51,1,1.54,-73.98301697,40.76115036,1,N,-74.0031662,40.75635147,1,7,0.5,0.5,1.5,0,9.8,37874351
2,08-01-2015 22:44,08-01-2015 22:48,5,0.7,-73.98847198,40.74523544,1,N,-73.9802475,40.74851608,1,5,0.5,0.5,1.1,0,7.4,459479753
1,08-01-2015 22:44,08-01-2015 22:52,1,1.2,-73.96551514,40.76279068,1,N,-73.95674133,40.77048874,1,7,0.5,0.5,2,0,10.3,84859
2,08-01-2015 22:44,08-01-2015 22:54,1,2.13,-73.9909668,40.75058365,1,N,-73.98314667,40.72987366,1,9.5,0.5,0.5,3,0,13.8,847
2,08-01-2015 22:44,08-01-2015 22:59,1,6.69,-73.79044342,40.64390945,1,N,-73.86966705,40.67420959,2,20.5,0.5,0.5,0,0,21.8,5005
1,08-01-2015 22:44,08-01-2015 22:48,1,0.8,-73.98038483,40.74930954,1,N,-73.98290253,40.73989868,1,5,0.5,0.5,1.26,0,7.56,5344865
